lat,long,gridlat,gridlong,gdd
49.913721,-97.197488,50.25,-97.5,396.397250531255
48.34828,-89.27361,48.0,-89.25,0
46.711929,-92.101347,46.5,-92.25,794.096472812505
43.826116,-79.454217,43.5,-79.5,1177.10154567188
43.826116,-79.454217,43.5,-79.5,1177.10154567188
47.383908,-88.105716,47.25,-87.75,0
46.778875,-87.597992,46.5,-87.75,482.84292357813
46.395049,-86.709477,46.5,-87.0,408.83001851563
46.360021,-84.526266,46.5,-84.75,352.83236482813
42.388431,-82.97771,42.75,-83.25,1328.47470787501
45.04818,-79.220557,45.0,-79.5,741.757079750005
45.460647,-75.741299,45.75,-75.75,752.591687750005
46.777067,-71.240008,47.0,-71.5,329.132
46.444999,-72.382586,46.25,-72.25,757.887
45.4674,-73.657,45.5,-73.75,958.673
45.713416,-66.449969,45.5,-66.25,674.271
45.866629,-65.395282,45.5,-65.5,547.296
44.941033,-63.505633,44.75,-63.25,640.341
40.588456,-105.517352,40.5,-105.75,0
33.256543,-94.574969,33.0,-94.5,3133.64488589063
46.41471,-94.618914,46.5,-94.5,810.069414750005
43.61458,-96.787122,43.5,-96.75,1288.52922301563
41.926776,-96.421302,42.0,-96.75,1592.73824403126
39.106721,-95.32384,39.0,-95.25,2199.06579696876
34.053242,-94.696719,33.75,-94.5,2992.40793632813
32.81031,-92.606316,33.0,-92.25,3108.23751101563
35.724934,-86.439627,36.0,-86.25,2415.55336512501
33.966601,-85.786376,33.75,-85.5,2647.58822395313
33.706149,-84.453744,33.75,-84.75,2633.85617010938
34.89334,-82.467861,35.25,-82.5,1965.21798220313
