lat,long,gridlat,gridlong,gdd
39.54,116.23,39.5,116.5,2314.39753823438
40.06,116.11,40.25,115.75,1377.89653062501
40.0,116.18,40.25,116.5,1729.71222806251
39.36,118.1,39.5,118.0,2166.17375278126
39.29,118.13,39.5,118.0,2166.17375278126
40.0,115.0,40.25,115.0,958.074358578131
39.63,118.18,39.5,118.0,2166.17375278126
39.94,119.6,40.25,119.5,1747.65020170313
45.27,127.59,45.5,127.75,824.751008265631
45.0,128.5,44.75,128.5,522.632409531255
45.45,126.38,45.5,126.25,967.274407953132
46.79,130.38,47.0,130.75,584.726731406255
44.55,129.63,44.75,130.0,481.41612485938
47.73,128.84,47.75,128.5,168.549782875005
43.8,126.77,44.0,127.0,863.998635625005
44.09,125.49,44.0,125.5,1098.49646959376
43.46,125.27,43.25,125.5,1056.68379393751
43.43,126.41,43.25,126.25,929.512780625006
43.77,125.5,44.0,125.5,1098.49646959376
43.73,126.66,44.0,127.0,863.998635625005
43.69,127.32,44.0,127.0,863.998635625005
42.66,125.49,42.5,125.5,957.825418000006
43.77,125.48,44.0,125.5,1098.49646959376
43.53,128.28,43.25,128.5,551.744310562505
41.46,123.25,41.75,123.25,1583.25639525001
41.46,123.26,41.75,123.25,1583.25639525001
41.82,123.57,41.75,123.25,1583.25639525001
41.26,124.36,41.0,124.0,1259.69851131251
41.13,124.29,41.0,124.0,1259.69851131251
41.81,123.43,41.75,123.25,1583.25639525001
40.0,124.34,40.25,124.0,1457.69095871876
38.95,121.58,38.75,121.75,1768.76255134376
40.78,119.83,41.0,119.5,1412.76809165626
40.88,124.28,41.0,124.0,1259.69851131251
37.44,118.68,37.25,118.75,2259.55109565626
37.38,117.97,37.25,118.0,2290.57319762501
39.14,117.47,39.5,117.25,2268.87348323438
38.56,117.31,38.75,117.25,2361.34504096876
38.98,117.4,38.75,117.25,2361.34504096876
38.94,117.54,38.75,117.25,2361.34504096876
37.57,126.99,37.25,127.0,2023.79387054688
37.16,127.1,37.25,127.0,2023.79387054688
36.1,127.14,35.75,127.0,2150.46758439063
37.56,127.34,37.25,127.0,2023.79387054688
37.6,127.34,37.25,127.0,2023.79387054688
35.29,127.63,35.0,127.75,2195.22802139063
35.94,127.7,35.75,127.75,2098.14780625001
38.04,128.1,38.0,127.75,1715.69236850001
36.44,128.17,36.5,128.5,2026.18034520313
37.27,129.1,37.25,129.25,1863.64734009376
49.42,136.56,49.25,136.75,106.473016500005
48.25,135.05,48.5,135.25,405.10476085938
48.39,135.11,48.5,135.25,405.10476085938
48.13,135.07,48.5,135.25,405.10476085938
48.28,135.06,48.5,135.25,405.10476085938
48.28,135.06,48.5,135.25,405.10476085938
43.39,132.37,43.25,132.25,704.168069718755
45.19,136.15,45.5,136.0,113.909339000005
43.36,134.11,43.25,133.75,437.22480117188
43.17,133.76,43.25,133.75,437.22480117188
44.22,133.84,44.0,133.75,301.77475857813
42.89,131.16,43.25,131.5,726.50083298438
44.41,132.89,44.75,133.0,707.48358314063
43.62,132.23,43.25,132.25,704.168069718755
43.1,133.91,43.25,133.75,437.22480117188
43.17,131.98,43.25,132.25,704.168069718755
44.41,131.38,44.75,131.5,664.60738570313
43.16,131.91,43.25,132.25,704.168069718755
43.31,132.06,43.25,132.25,704.168069718755
42.43,130.69,42.5,130.75,877.610139281256
43.23,132.01,43.25,132.25,704.168069718755
43.28,132.08,43.25,132.25,704.168069718755
43.3,131.6,43.25,131.5,726.50083298438
45.9,137.5,46.25,137.5,100.513038000005
45.93,133.74,46.25,133.75,625.360277531255
42.51,131.12,42.5,130.75,877.610139281256
43.06,131.58,43.25,131.5,726.50083298438
43.11,132.15,43.25,132.25,704.168069718755
43.13,131.32,43.25,131.5,726.50083298438
43.14,132.0,43.25,132.25,704.168069718755
43.17,131.36,43.25,131.5,726.50083298438
43.3,132.1,43.25,132.25,704.168069718755
43.36,132.16,43.25,132.25,704.168069718755
43.46,132.28,43.25,132.25,704.168069718755
43.69,132.13,44.0,132.25,716.49707954688
43.81,131.97,44.0,132.25,716.49707954688
43.9,131.93,44.0,132.25,716.49707954688
44.27,141.72,44.0,142.0,766.49001432813
42.79,141.38,42.5,141.25,920.914979296881
42.83,142.96,42.5,142.75,860.894250500005
43.06,141.35,43.25,141.25,935.230942843756
34.58,132.86,34.25,133.0,2302.13366795313
35.83,139.05,35.75,139.0,1943.13813920313
35.83,139.05,35.75,139.0,1943.13813920313
35.83,139.05,35.75,139.0,1943.13813920313
35.59,138.88,35.75,139.0,1943.13813920313
35.43,135.41,35.75,135.25,2418.28005375001
35.83,139.05,35.75,139.0,1943.13813920313
35.67,136.29,35.75,136.0,2348.79962334376
36.64,138.13,36.5,138.25,1468.79483895313
35.83,139.05,35.75,139.0,1943.13813920313
35.59,138.88,35.75,139.0,1943.13813920313
36.34,138.65,36.5,139.0,1709.55053867188
38.0,140.57,38.0,140.5,1828.98602560938
35.27,135.49,35.0,135.25,2587.70784909376
32.64,130.97,32.75,130.75,2613.55343864063
33.48,130.93,33.5,130.75,2685.78463973438
33.93,134.3,34.25,134.5,2655.55707735938
