lat,long,gridlat,gridlong,gdd
49.891199,38.920042,50.25,39.0,1099.58422732813
50.089229,39.163869,50.25,39.0,1099.58422732813
50.03541,39.077032,50.25,39.0,1099.58422732813
50.049656,38.903589,50.25,39.0,1099.58422732813
53.311143,34.308293,53.25,34.5,606.53270648438
53.240209,34.345979,53.25,34.5,606.53270648438
53.224564,34.320293,53.25,34.5,606.53270648438
53.313018,34.296995,53.25,34.5,606.53270648438
53.303516,34.306032,53.25,34.5,606.53270648438
53.308898,34.3098,53.25,34.5,606.53270648438
55.092515,36.609535,54.75,36.75,462.466843406255
54.517096,36.255569,54.75,36.0,429.25159748438
51.749856,36.228008,51.75,36.0,808.55155829688
51.743153,36.20961,51.75,36.0,808.55155829688
51.746404,36.219909,51.75,36.0,808.55155829688
52.62419,38.503653,52.5,38.25,753.54318470313
52.879137,38.996057,53.25,39.0,674.09019089063
55.807598,37.638583,55.5,37.5,459.06399770313
55.606017,37.53328,55.5,37.5,459.06399770313
55.808663,37.463617,55.5,37.5,459.06399770313
55.608005,37.699271,55.5,37.5,459.06399770313
55.673816,37.408452,55.5,37.5,459.06399770313
55.832436,37.398606,55.5,37.5,459.06399770313
55.627878,37.652616,55.5,37.5,459.06399770313
55.690262,37.75416,55.5,37.5,459.06399770313
55.663021,37.482663,55.5,37.5,459.06399770313
55.730674,37.504269,55.5,37.5,459.06399770313
55.844053,37.350501,55.5,37.5,459.06399770313
55.876418,36.968071,56.25,36.75,371.27666423438
54.916685,37.408447,54.75,37.5,492.795570937505
55.508708,36.0149,55.5,36.0,385.541232781255
55.912081,37.737007,56.25,37.5,380.67111142188
56.010091,37.835541,56.25,37.5,380.67111142188
54.923392,37.41446,54.75,37.5,492.795570937505
55.916822,37.854285,56.25,37.5,380.67111142188
55.996867,37.181584,56.25,37.5,380.67111142188
55.634761,38.06763,55.5,38.25,487.33345832813
55.467786,35.903792,55.5,36.0,385.541232781255
55.468759,35.815723,55.5,36.0,385.541232781255
55.492718,35.376541,55.5,35.25,381.01624557813
55.4954,35.297197,55.5,35.25,381.01624557813
56.312322,38.133853,56.25,38.25,384.016886468755
55.72689,37.500132,55.5,37.5,459.06399770313
55.699711,37.539014,55.5,37.5,459.06399770313
55.676319,37.263561,55.5,37.5,459.06399770313
55.970374,37.917836,56.25,38.25,384.016886468755
55.101102,38.740029,54.75,39.0,557.39828826563
54.545319,38.618336,54.75,38.25,520.23838335938
56.333289,36.727982,56.25,36.75,371.27666423438
55.812388,38.175615,55.5,38.25,487.33345832813
55.843733,38.197245,55.5,38.25,487.33345832813
55.987436,37.202797,56.25,37.5,380.67111142188
55.703026,37.521257,55.5,37.5,459.06399770313
55.712084,37.587879,55.5,37.5,459.06399770313
55.836526,37.58709,55.5,37.5,459.06399770313
55.823025,37.6086,55.5,37.5,459.06399770313
55.830363,37.621901,55.5,37.5,459.06399770313
55.832128,37.588685,55.5,37.5,459.06399770313
55.561464,37.594726,55.5,37.5,459.06399770313
55.71864,37.607841,55.5,37.5,459.06399770313
56.185244,36.977435,56.25,36.75,371.27666423438
55.923479,37.382215,56.25,37.5,380.67111142188
55.973674,37.155509,56.25,37.5,380.67111142188
55.98278,37.204838,56.25,37.5,380.67111142188
55.983281,37.170774,56.25,37.5,380.67111142188
55.996867,37.181584,56.25,37.5,380.67111142188
56.064253,37.077536,56.25,36.75,371.27666423438
55.0831985473632,38.7904014587402,54.75,39.0,557.39828826563
55.055775,39.120532,54.75,39.0,557.39828826563
55.048771,38.782339,54.75,39.0,557.39828826563
54.885286,38.100062,54.75,38.25,520.23838335938
56.02841,35.505581,56.25,35.25,331.029790687505
52.972214,36.068115,53.25,36.0,592.29399776563
52.426357,37.604649,52.5,37.5,721.95383001563
54.52299,39.413911,54.75,39.75,582.95890398438
54.614913,39.700959,54.75,39.75,582.95890398438
55.302429,34.497554,55.5,34.5,371.461824843755
55.403931,33.888961,55.5,33.75,356.877662250005
55.415084,34.772212,55.5,34.5,371.461824843755
55.493128,35.211665,55.5,35.25,381.01624557813
54.889998,32.070727,54.75,32.25,440.398939875005
55.235955,34.257056,55.5,34.5,371.461824843755
54.798123,32.033169,54.75,32.25,440.398939875005
52.89777,40.49681,53.25,40.5,710.44021414063
53.988075,37.63121,54.0,37.5,520.858176031255
54.195788,37.619934,54.0,37.5,520.858176031255
56.175951,34.581187,56.25,34.5,303.769727156255
56.551258,36.433204,56.25,36.75,371.27666423438
56.78343,36.090041,57.0,36.0,306.02636235938
56.712044,36.76815,57.0,36.75,311.741994437505
56.798589,36.028667,57.0,36.0,306.02636235938
56.868084,35.838773,57.0,36.0,306.02636235938
55.933628,39.455709,56.25,39.75,404.08096157813
48.598459,44.494489,48.75,44.25,1494.88865890626
51.683625,39.181366,51.75,39.0,915.573810359381
50.281156,39.289769,50.25,39.0,1099.58422732813
51.114609,40.71958,51.0,40.5,1032.53480860938
49.822285,39.301783,49.5,39.0,1209.96500570313
57.626486,39.872788,57.75,39.75,248.549618656255
49.612958,39.56344,49.5,39.75,1203.20476385938
